_2_fwd_2_VERTICAL_0_PM_PV_zr_FP,_2_fwd_2_VERTICAL_1_STEM_PM_PV_zr_bulbNose,_2_fwd_2_VERTICAL_1_STEM_seg01_PV_sp_End,_2_fwd_2_VERTICAL_1_STEM_seg01_PV_sp_Start,_2_fwd_2_VERTICAL_1_STEM_seg02_PM_PV_ar_mid,_2_fwd_2_VERTICAL_2_FRAME_seg01_PM_PV_zr_end,_2_fwd_2_VERTICAL_2_FRAME_seg02_PM_PV_zr_end,_2_fwd_3_GUIDEs_GUIDE_2_1_SplineSnap_4_SHIFTS_PV_u_02,_2_fwd_3_GUIDEs_GUIDE_2_1_SplineSnap_4_SHIFTS_PV_v_02,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_ax_end,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_sp,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_t_angle,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_t_02,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_u_03,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_v_03,_2_fwd_4_COLUs_col4_0_speed_r_2_PV_sp,FORCES_pred,FORCES_sd,RESISTANCE_ratio_AA_pred,RESISTANCE_ratio_AA_sd,trusted,proposed_for_batch,regime,round,surrogate_round,gate_nd,gate_edge_ok,gate_calibrated,gate_in_distribution,manifold_dist,manifold_thresh
0.95,0.8885996393811574,0.1247697981027733,0.4831519567522899,0.5160383598213054,0.6044930540710682,0.85,0.4749643726895931,0.6045965547903835,1.0249410298438584,0.0298379709064193,0.3517685266865828,0.5338020353011648,0.4797054513390579,0.3742370752047047,0.5505155448896188,-0.4657291173934936,0.3287020921707153,99.8084716796875,0.1149613037705421,False,False,small_n,1,1,False,False,True,True,4.081962,4.441989421844482
0.9475600156281694,0.9,0.1074420576331201,0.5062322428837455,0.5845821662147792,0.5610053445949857,0.8577382229763246,0.4255998087788471,0.4713308810708739,2.378225082764774,0.0389651874261531,0.3137314646252108,0.2776322665663598,0.5751336874658769,0.440545952301286,0.8051624638701984,-0.5415934324264526,0.3278522789478302,99.85140228271484,0.1148319318890571,False,False,small_n,1,1,False,False,True,False,4.511335,4.441989421844482
0.95,0.8876703541285655,0.116886464307694,0.479390596528993,0.4887819573685708,0.6171306839280392,0.8504619207615317,0.4694406878941432,0.6187351826241336,-23.193085107012127,0.0298851550625589,0.337805494586286,0.4795228771372031,0.4740289346526072,0.4957191371071747,0.662287387789361,-0.6859509348869324,0.329035609960556,99.85197448730467,0.1148295924067497,False,False,small_n,1,1,False,False,True,False,4.5437393,4.441989421844482
0.9499594869391612,0.9,0.1142197014569282,0.4400000000804752,0.4341014931013282,0.6253061888277215,0.8500000003229484,0.4403676239549697,0.5100367698115839,-16.288460151935727,0.0285339578690346,0.3224749948064949,0.533000216230912,0.4603055445359743,0.5987104328493841,0.826303872438793,-0.8588890433311462,0.3281750082969665,99.80946350097656,0.1149558275938034,False,False,small_n,1,1,True,False,True,False,4.4989715,4.441989421844482
0.9372587477541128,0.892363431751647,0.1200032211745313,0.533364616143934,0.5081636930821247,0.5921391375713508,0.85,0.5243753286759355,0.5244643590413752,-21.13211250063579,0.02,0.3585441055098201,0.5305102986598524,0.5216695868912787,0.4725215464125339,0.6778689913878682,-0.7998688817024231,0.3324264287948608,99.97798919677734,0.1146576181054115,False,False,small_n,1,1,False,False,True,False,4.4882197,4.441989421844482
0.9499733437845226,0.9,0.1133917866242172,0.4400014388228003,0.2704479588316319,0.6224172984403546,0.8624406287440394,0.4320017234638325,0.4180466329190789,-26.652145051637916,0.0325059146454369,0.3312872918386912,0.4406971271907693,0.4678910209274138,0.5177260337105011,0.7774141920211687,-0.8629482388496399,0.3281180262565613,100.0624542236328,0.1146094724535942,False,False,small_n,1,1,False,False,True,False,4.4913383,4.441989421844482
0.9439513879204297,0.894171884998783,0.1089433616411624,0.4768894560085669,0.688372195622859,0.5604813830837285,0.85,0.4603080583496073,0.5867404109176061,-6.0831918436116075,0.0267851172788228,0.3631705726782508,0.5318639449233843,0.4891794364008416,0.536326182078461,0.3427777069830295,-1.010603904724121,0.3314685821533203,100.00946807861328,0.1146363317966461,True,True,small_n,1,1,True,True,True,False,4.4612327,4.441989421844482
0.9461363674395832,0.8970526076712675,0.1128894016526709,0.4861356989262824,0.5096526952868082,0.5813152736137017,0.85,0.4479914372551745,0.4591008968452136,-19.01380840343375,0.0245719559121049,0.3798356287718942,0.5126298792807698,0.4784422686572724,0.4815620963407619,0.6006034117366643,-1.0793317556381226,0.332007884979248,100.10910034179688,0.1145927160978317,False,False,small_n,1,1,True,False,True,False,4.479493,4.441989421844482
0.9368104912116764,0.8844471034216819,0.1018281083030463,0.4789778310910327,0.4775789364037301,0.53715694301203,0.8500000511305167,0.4689450879252949,0.4623102303493408,-10.43434520433822,0.0218170493336543,0.3349602566258889,0.4652387657470099,0.571793491411261,0.4188880319434781,0.6458901597095005,-1.1408902406692505,0.3348158001899719,100.40465545654295,0.1146445795893669,False,False,small_n,1,1,True,False,True,True,4.263486,4.441989421844482
0.9024174157957578,0.8966904598174643,0.1126085096157,0.5012540882942774,0.2172595391697314,0.5096096416543798,0.8638567198541721,0.4250113723786798,0.4477390808679414,-10.324368979779772,0.0200043854051958,0.3927577764909292,0.4021134794644686,0.5772868532240932,0.5164908702719719,0.7805445964706798,-1.2367126941680908,0.3752655684947967,100.96508026123048,0.1173090040683746,False,False,small_n,1,1,True,False,False,True,4.436171,4.441989421844482
