cand_id,source,in_batch20,_2_fwd_2_VERTICAL_0_PM_PV_zr_FP,_2_fwd_2_VERTICAL_1_STEM_PM_PV_zr_bulbNose,_2_fwd_2_VERTICAL_1_STEM_seg01_PV_sp_End,_2_fwd_2_VERTICAL_1_STEM_seg01_PV_sp_Start,_2_fwd_2_VERTICAL_1_STEM_seg02_PM_PV_ar_end,_2_fwd_2_VERTICAL_2_FRAME_seg01_PM_PV_zr_end,_2_fwd_2_VERTICAL_2_FRAME_seg02_PM_PV_zr_end,_2_fwd_3_GUIDEs_GUIDE_2_1_SplineSnap_4_SHIFTS_PV_u_02,_2_fwd_3_GUIDEs_GUIDE_2_1_SplineSnap_4_SHIFTS_PV_v_02,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_ax_end,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_sp,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_t_angle,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_t_02,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_u_03,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_v_03,_2_fwd_4_COLUs_col4_0_speed_r_2_PV_sp,RESISTANCE_ratio_AB_pred,RESISTANCE_ratio_AB_sd,FORCES_pred,FORCES_sd,WAVEHEIGHTS_pred,WAVEHEIGHTS_sd,ct_ffw_HP01_value_pred,trusted
vera_c12,fix123_k1_l1_tr,True,0.8198456564409177,0.9437635138127848,0.1050161627036736,0.6982900801980612,0.4744462785073193,0.5530960061376026,0.8860040564042009,0.312183961569674,0.7452431193805142,4.740616873808139,0.0777555209523954,0.1454631295230024,0.4442279662667137,0.4389921926310893,0.4484063141407343,0.9027056398243036,96.879638671875,0.2404532879590988,-0.9517080187797546,0.2391287833452224,-0.9179973602294922,0.2592184841632843,7.156929969787598,True
vera_c13,fix123_k1_l1_tr,True,0.8108450637493284,0.9274395347643252,0.1049987427370858,0.6611854494822154,0.6380372552043221,0.5650047732544486,0.8859980595460474,0.4141013021590749,0.5867218868566211,9.485265419619504,0.067583515256812,0.111212978796031,0.4532820701347654,0.2994941321842017,0.4760928003469301,0.8867616931257573,96.85468292236328,0.2417811751365661,-0.9483146667480468,0.2386306524276733,-0.8996723890304565,0.2589036226272583,7.095669269561768,True
vera_c14,fix123_k1_l1_tr,True,0.8075339201707273,0.9150564884243532,0.1049964819050231,0.6255212814054211,0.5658043846681798,0.555062574910943,0.8860008690578907,0.3984703370724843,0.6244694965882713,0.6480793539986277,0.0684888098399685,0.1421529198780198,0.4095729326068143,0.2631890042392362,0.4845060938035939,0.8508242873348361,96.84269714355467,0.2425076067447662,-0.9135579466819764,0.234595701098442,-0.8822007775306702,0.2586496472358703,7.000550746917725,True
vera_c15,fix123_k1_l1_tr,True,0.8004631724677064,0.9481335544894448,0.1050035685316323,0.6354293559891798,0.5407933583271044,0.5629962558161066,0.8862495254974965,0.3724282473856201,0.5857182867527351,9.372458719402548,0.0742892789465364,0.1426091819198519,0.403347314683792,0.329393375619547,0.4837949976608161,0.8989208139235433,96.85338592529295,0.2418514043092727,-0.9107418656349182,0.234339565038681,-1.038299560546875,0.2631787359714508,7.0360846519470215,True
vera_c16,fix123_k1_l1_tr,True,0.7907946553376005,0.9301802544909896,0.1050018109553878,0.6256751825689125,0.4913273989814159,0.5679935531074748,0.8861732278789018,0.3691202766996946,0.5597506998021766,3.8353764383618896,0.0675854250992317,0.110081516657231,0.4080471011154116,0.2983737793928767,0.483596074645876,0.8869319205439686,96.8486328125,0.24213907122612,-0.879410982131958,0.2318898141384124,-1.051745057106018,0.263967752456665,6.891059398651123,True
vera_c17,fix123_k1_l1_tr,True,0.7877435502787128,0.9547865348646504,0.1050024864947679,0.6270510205233373,0.6215513622653451,0.5518275733487612,0.8859997554797516,0.3174308064287693,0.5876765892505439,8.5720827326702,0.0834367452537534,0.1618393941008033,0.4204726542543183,0.2980513524380613,0.4845024916891063,0.8370300133606507,96.8740463256836,0.2407317161560058,-0.874143660068512,0.2315521985292434,-1.0933860540390017,0.2672287225723266,6.954935073852539,True
vera_c18,fix123_k1_l1_tr,True,0.7934433825724623,0.9445621483187052,0.106926509393434,0.6744176882926364,0.5644273518981431,0.60270227980433,0.8859975673681911,0.3296481582863855,0.5869695220133312,9.817261696044326,0.0850135378574674,0.2157880667736569,0.4239129251388274,0.4390953293635762,0.4532828182017221,0.9350768697815554,96.8956527709961,0.2397230267524719,-0.9197227954864502,0.2352080792188644,-1.0301976203918457,0.2627573907375335,6.98607873916626,True
vera_c19,fix123_k1_l1_tr,True,0.7879392766604539,0.9616407512478106,0.1050138864025815,0.650261553198608,0.3971153199276486,0.5696548920432541,0.8860283792728054,0.3929849031403318,0.643695404082255,2.605767103118457,0.0896530253239297,0.1989364837271483,0.4318433449133681,0.3118941440440295,0.4688799101050914,0.862368004282301,96.9146728515625,0.2389529943466186,-0.8250208497047424,0.229061484336853,-1.093390941619873,0.2672316133975982,6.923620223999023,True
vera_c20,fix123_k1_l1_tr,True,0.7894615279194962,0.964894580424412,0.105000523930941,0.6398963492024061,0.4640934685245644,0.5640731056887552,0.890863747087391,0.3251914363196089,0.5866971272195176,9.664341114840267,0.0993152197108581,0.2327578539171505,0.4345172537640351,0.3814362528998957,0.4292447615444579,0.8841561976396168,96.93283081054688,0.2383090257644653,-0.8147059679031372,0.228663370013237,-1.093392252922058,0.2672331631183624,6.964405536651611,True
vera_c21,fix123_k1_l1_tr,False,0.7949802509362909,0.952401332828354,0.1051999773741662,0.6769228780728208,0.4785154289030643,0.5489106759790531,0.8860013583457044,0.2157780364160593,0.5692158622924925,2.5210208585714797,0.1009374713327236,0.2473299987593983,0.4411336380420762,0.358031577085221,0.437437526633499,0.8798237236224612,96.92974090576172,0.2384131848812103,-0.7932871580123901,0.2279422879219055,-1.093394756317139,0.2672352492809295,6.992791175842285,True
