_2_fwd_2_VERTICAL_0_PM_PV_zr_FP,_2_fwd_2_VERTICAL_1_STEM_PM_PV_zr_bulbNose,_2_fwd_2_VERTICAL_1_STEM_seg01_PV_sp_End,_2_fwd_2_VERTICAL_1_STEM_seg01_PV_sp_Start,_2_fwd_2_VERTICAL_1_STEM_seg02_PM_PV_ar_end,_2_fwd_2_VERTICAL_2_FRAME_seg01_PM_PV_zr_end,_2_fwd_2_VERTICAL_2_FRAME_seg02_PM_PV_zr_end,_2_fwd_3_GUIDEs_GUIDE_2_1_SplineSnap_4_SHIFTS_PV_u_02,_2_fwd_3_GUIDEs_GUIDE_2_1_SplineSnap_4_SHIFTS_PV_v_02,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_ax_end,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_sp,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_t_angle,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_t_02,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_u_03,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_v_03,_2_fwd_4_COLUs_col4_0_speed_r_2_PV_sp,f(x),FORCES,RTRWPMIX,ct_ffw_HP01_value,Design ID,Ancestry,FSOPT_Generation,FSOPT_Design_ID,FSOPT_Parent_ID
0.8405882353,0.9205882353,0.1105882353,0.6988235294,0.9164705882,0.5525490196,0.9228235294,0.5364705882,0.5866666667,6.070588235,0.1452941176,0.05490196078,0.508,0.4294117647,0.468,0.8190196078,,1.954827,2.001435,7.40244,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00021,,1,03_OPT/00/NSGA1_000/DES_00021,
0.8347058824,0.9205882353,0.1137254902,0.6647058824,0.7860784314,0.5588235294,0.9162352941,0.3058823529,0.5552941176,-4.964705882,0.1445098039,0.1788235294,0.438,0.4725490196,0.398,0.8190196078,,0.1181563,-0.05811621,7.32311,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00022,,1,03_OPT/00/NSGA1_000/DES_00022,
0.8247058824,0.8960784314,0.1137254902,0.6623529412,0.9388235294,0.5596078431,0.9162352941,0.4847058824,0.6368627451,1.294117647,0.1362745098,0.1192156863,0.46,0.4666666667,0.468,0.8725490196,,0.4589393,0.3815743,7.23309,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00023,,1,03_OPT/00/NSGA1_000/DES_00023,
0.8164705882,0.9480392157,0.122745098,0.7023529412,0.8754901961,0.5556862745,0.9468235294,0.44,0.5835294118,2.611764706,0.1311764706,0.1098039216,0.48,0.4431372549,0.482,0.9362745098,,0.3831223,0.4466389,7.29643,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00024,,1,03_OPT/00/NSGA1_000/DES_00024,
0.8294117647,0.9450980392,0.1078431373,0.6988235294,0.8419607843,0.5556862745,0.9247058824,0.5647058824,0.4392156863,1.129411765,0.1398039216,0.007843137255,0.494,0.4509803922,0.484,0.7603921569,,1.708562,1.585113,7.3519,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00025,,1,03_OPT/00/NSGA1_000/DES_00025,
0.8347058824,0.9147058824,0.1054901961,0.6952941176,0.6445098039,0.5807843137,0.9496470588,0.4470588235,0.5615686275,-1.835294118,0.147254902,0.04705882353,0.47,0.4588235294,0.482,0.9668627451,,1.24917,1.059519,7.24772,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00026,,1,03_OPT/00/NSGA1_000/DES_00026,
0.8211764706,0.8960784314,0.1062745098,0.7011764706,0.8196078431,0.5580392157,0.9383529412,0.4917647059,0.542745098,-1.011764706,0.1441176471,0.02823529412,0.464,0.4588235294,0.466,0.9337254902,,0.9254418,0.7588482,7.15102,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00027,,1,03_OPT/00/NSGA1_000/DES_00027,
0.8476470588,0.8656862745,0.1011764706,0.6905882353,0.8270588235,0.5549019608,0.9312941176,0.5082352941,0.6149019608,-0.5176470588,0.1417647059,0.128627451,0.438,0.4745098039,0.448,0.8954901961,,0.9427471,0.87088,7.30998,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00028,,1,03_OPT/00/NSGA1_000/DES_00028,
0.8447058824,0.9147058824,0.1,0.7094117647,0.8307843137,0.5478431373,0.9228235294,0.5764705882,0.3701960784,5.576470588,0.1496078431,0.1066666667,0.496,0.4549019608,0.442,0.9184313725,,2.224269,2.231114,7.37856,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00029,,1,03_OPT/00/NSGA1_000/DES_00029,
0.8417647059,0.8970588235,0.1156862745,0.7047058824,0.8456862745,0.5352941176,0.9345882353,0.5176470588,0.5207843137,-0.1882352941,0.1433333333,0.1317647059,0.484,0.4039215686,0.48,0.987254902,,1.402757,1.430905,7.34569,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00030,,1,03_OPT/00/NSGA1_000/DES_00030,
0.8382352941,0.8696078431,0.1066666667,0.6282352941,0.76,0.5705882353,0.9383529412,0.5317647059,0.5803921569,1.294117647,0.1476470588,0.1270588235,0.506,0.4509803922,0.498,0.8317647059,,1.249845,0.9279727,7.21744,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00031,,1,03_OPT/00/NSGA1_000/DES_00031,
0.8370588235,0.8950980392,0.1003921569,0.72,0.8866666667,0.5611764706,0.9129411765,0.52,0.671372549,-3.317647059,0.1464705882,0.05960784314,0.458,0.4705882353,0.486,0.8852941176,,1.352751,1.332713,7.29553,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00032,,1,03_OPT/00/NSGA1_000/DES_00032,
0.8511764706,0.9,0.1050980392,0.7729411765,0.8978431373,0.5196078431,0.9101176471,0.5082352941,0.5270588235,1.788235294,0.1480392157,0.1552941176,0.422,0.468627451,0.368,0.9184313725,,1.523545,1.765711,7.43137,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00033,,1,03_OPT/00/NSGA1_000/DES_00033,
0.8335294118,0.8892156863,0.1196078431,0.7494117647,0.9239215686,0.5321568627,0.9251764706,0.5129411765,0.4643137255,3.435294118,0.1433333333,0.09254901961,0.494,0.4784313725,0.448,0.9209803922,,1.268216,1.439499,7.29535,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00034,,1,03_OPT/00/NSGA1_000/DES_00034,
0.8364705882,0.8647058824,0.1011764706,0.7411764706,0.9164705882,0.5384313725,0.9468235294,0.4988235294,0.1882352941,6.4,0.1429411765,0.111372549,0.434,0.4725490196,0.46,0.8292156863,,0.7752648,0.8443543,7.25475,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00035,,1,03_OPT/00/NSGA1_000/DES_00035,
0.8176470588,0.9568627451,0.1050980392,0.7164705882,0.8903921569,0.557254902,0.9388235294,0.5858823529,0.577254902,0.8,0.1358823529,0.1207843137,0.494,0.4803921569,0.464,0.8011764706,,1.179326,1.273368,7.29477,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00036,,1,03_OPT/00/NSGA1_000/DES_00036,
0.8117647059,0.9098039216,0.1078431373,0.7235294118,0.9090196078,0.5807843137,0.9232941176,0.4964705882,0.5709803922,-3.482352941,0.138627451,0.09098039216,0.48,0.4450980392,0.472,0.87,,0.4297236,0.4958554,7.13558,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00037,,1,03_OPT/00/NSGA1_000/DES_00037,
0.8505882353,0.9460784314,0.1031372549,0.7047058824,0.9052941176,0.5360784314,0.9298823529,0.5035294118,0.5301960784,3.929411765,0.1468627451,0.06274509804,0.388,0.468627451,0.494,0.857254902,,2.257361,2.176448,7.53334,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00038,,1,03_OPT/00/NSGA1_000/DES_00038,
0.8352941176,0.9107843137,0.1156862745,0.6917647059,0.9239215686,0.5650980392,0.92,0.5741176471,0.5615686275,2.776470588,0.1405882353,0.1066666667,0.478,0.4725490196,0.454,0.811372549,,1.581162,1.711251,7.34761,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00039,,1,03_OPT/00/NSGA1_000/DES_00039,
0.8347058824,0.8921568627,0.1019607843,0.6705882353,0.9239215686,0.5823529412,0.9383529412,0.3858823529,0.4705882353,4.258823529,0.1456862745,0.128627451,0.47,0.462745098,0.47,0.9158823529,,0.640693,0.491852,7.287,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00040,,1,03_OPT/00/NSGA1_000/DES_00040,
0.8452941176,0.8745098039,0.1211764706,0.6705882353,0.9425490196,0.5839215686,0.9416470588,0.4188235294,0.5176470588,2.611764706,0.1354901961,0.04705882353,0.436,0.4647058824,0.482,0.9337254902,,0.8408728,0.7301087,7.37488,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00041,,1,03_OPT/00/NSGA1_000/DES_00041,
0.8264705882,0.8990196078,0.1050980392,0.7094117647,0.9090196078,0.5250980392,0.9143529412,0.5011764706,0.5866666667,-6.282352941,0.1445098039,0.1129411765,0.428,0.4607843137,0.494,0.9031372549,,0.7278123,0.6334339,7.23054,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00042,,1,03_OPT/00/NSGA1_000/DES_00042,
0.8382352941,0.9529411765,0.1003921569,0.7023529412,0.797254902,0.5352941176,0.9388235294,0.4823529412,0.4831372549,-4.8,0.1433333333,0.1145098039,0.456,0.468627451,0.44,0.9464705882,,1.292666,1.136267,7.42257,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00043,,1,03_OPT/00/NSGA1_000/DES_00043,
0.8270588235,0.8823529412,0.1223529412,0.6847058824,0.9462745098,0.5415686275,0.9256470588,0.4611764706,0.4768627451,3.105882353,0.1394117647,0.1066666667,0.498,0.4941176471,0.466,0.87,,0.6200024,0.5812174,7.24164,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00044,,1,03_OPT/00/NSGA1_000/DES_00044,
0.8305882353,0.8774509804,0.108627451,0.6705882353,0.8792156863,0.5745098039,0.9190588235,0.4188235294,0.5176470588,3.6,0.1456862745,0.1145098039,0.488,0.4019607843,0.492,0.8496078431,,0.5126809,0.396379,7.21898,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00045,,1,03_OPT/00/NSGA1_000/DES_00045,
0.8170588235,0.8784313725,0.1039215686,0.6952941176,0.8270588235,0.5674509804,0.9068235294,0.5505882353,0.6180392157,-5.788235294,0.1358823529,0.08784313725,0.476,0.4764705882,0.364,0.9260784314,,0.3404525,0.317815,7.08276,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00046,,1,03_OPT/00/NSGA1_000/DES_00046,
0.8029411765,0.8784313725,0.1105882353,0.7082352941,0.9090196078,0.5596078431,0.9458823529,0.5152941176,0.4203921569,1.952941176,0.1425490196,0.1521568627,0.462,0.4843137255,0.482,0.9311764706,,0.2929157,0.3639412,7.00846,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00047,,1,03_OPT/00/NSGA1_000/DES_00047,
0.8247058824,0.9323529412,0.1109803922,0.6847058824,0.9425490196,0.5549019608,0.9256470588,0.4211764706,0.4611764706,-0.8470588235,0.1370588235,0.1552941176,0.412,0.4490196078,0.472,0.8674509804,,0.2649472,0.1992014,7.30811,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00048,,1,03_OPT/00/NSGA1_000/DES_00048,
0.8617647059,0.8696078431,0.1066666667,0.6941176471,0.8419607843,0.5533333333,0.9152941176,0.5952941176,0.511372549,2.776470588,0.1496078431,0.05647058824,0.474,0.4745098039,0.47,0.9056862745,,2.84144,2.906261,7.44547,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00049,,1,03_OPT/00/NSGA1_000/DES_00049,
0.85,0.8950980392,0.1156862745,0.68,0.8866666667,0.5643137255,0.9449411765,0.48,0.6243137255,-1.835294118,0.1433333333,0.01725490196,0.436,0.4549019608,0.466,0.9260784314,,1.836097,1.687829,7.42326,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00050,,1,03_OPT/00/NSGA1_000/DES_00050,
0.8058823529,0.887254902,0.1066666667,0.6976470588,0.7152941176,0.5549019608,0.9185882353,0.4776470588,0.5270588235,-2.494117647,0.1366666667,0.1396078431,0.45,0.3431372549,0.484,0.8929411765,,-0.07450411,-0.09431342,6.96911,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00051,,1,03_OPT/00/NSGA1_000/DES_00051,
0.8029411765,0.8715686275,0.1149019608,0.7023529412,0.8121568627,0.5337254902,0.9176470588,0.4870588235,0.3921568627,-0.8470588235,0.1374509804,0.1725490196,0.452,0.4843137255,0.44,0.9056862745,,-0.1176526,-0.06196547,6.96356,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00052,,1,03_OPT/00/NSGA1_000/DES_00052,
0.8111764706,0.8745098039,0.1290196078,0.6682352941,0.7711764706,0.5580392157,0.9148235294,0.4211764706,0.5176470588,8.047058824,0.1331372549,0.1364705882,0.492,0.4039215686,0.508,0.9643137255,,-0.1104536,-0.05383548,7.04174,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00053,,1,03_OPT/00/NSGA1_000/DES_00053,
0.82,0.881372549,0.1184313725,0.6870588235,0.7264705882,0.5478431373,0.9049411765,0.3788235294,0.5270588235,5.411764706,0.138627451,0.1537254902,0.474,0.3588235294,0.404,0.8598039216,,-0.1525042,-0.1131377,7.09517,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00054,,1,03_OPT/00/NSGA1_000/DES_00054,
0.8205882353,0.8588235294,0.1023529412,0.6717647059,0.8084313725,0.5611764706,0.9388235294,0.4470588235,0.5521568627,4.752941176,0.1401960784,0.1239215686,0.506,0.4666666667,0.414,0.8215686275,,0.09761346,0.04070351,7.06939,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00055,,1,03_OPT/00/NSGA1_000/DES_00055,
0.8047058824,0.8803921569,0.1003921569,0.6294117647,0.6445098039,0.5447058824,0.9171764706,0.5835294118,0.3952941176,3.270588235,0.1366666667,0.1631372549,0.442,0.4254901961,0.462,0.8878431373,,0.1744438,-0.1208025,6.90718,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00056,,1,03_OPT/00/NSGA1_000/DES_00056,
0.8229411765,0.9039215686,0.1117647059,0.6988235294,0.778627451,0.58,0.9209411765,0.4847058824,0.577254902,0.1411764706,0.1264705882,0.1866666667,0.48,0.4823529412,0.458,0.9719607843,,-0.06394059,0.1053798,7.17794,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00057,,1,03_OPT/00/NSGA1_000/DES_00057,
0.8447058824,0.8833333333,0.1094117647,0.7011764706,0.8568627451,0.571372549,0.9077647059,0.4094117647,0.3890196078,0.3058823529,0.1249019608,0.24,0.5,0.468627451,0.482,0.9158823529,,-0.3072128,-0.05972663,7.33763,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00058,,1,03_OPT/00/NSGA1_000/DES_00058,
0.8288235294,0.8852941176,0.1035294118,0.7152941176,0.7823529412,0.5792156863,0.9214117647,0.4729411765,0.5396078431,1.294117647,0.1323529412,0.1003921569,0.442,0.4745098039,0.454,0.7221568627,,0.1205351,0.2274593,7.17398,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00059,,1,03_OPT/00/NSGA1_000/DES_00059,
0.8411764706,0.9225490196,0.1109803922,0.7094117647,0.7339215686,0.5376470588,0.9247058824,0.5623529412,0.351372549,9.364705882,0.1362745098,0.07529411765,0.436,0.4901960784,0.476,0.87,,1.426385,1.476655,7.36161,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00060,,1,03_OPT/00/NSGA1_000/DES_00060,
0.8411764706,0.9068627451,0.108627451,0.7211764706,0.8531372549,0.5125490196,0.9138823529,0.4564705882,0.5615686275,0.9647058824,0.1378431373,0.09098039216,0.476,0.4294117647,0.402,0.8317647059,,0.6253347,0.6157201,7.35345,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00061,,1,03_OPT/00/NSGA1_000/DES_00061,
