_2_fwd_4_COLUs_col4_0_speed_r_2_PV_sp_y,_2_fwd_4_COLUs_col4_0_speed_r_2_PV_sp,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_v_03,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_u_03,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_t_02,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_t_angle,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_sp,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_ax_end,_2_fwd_3_GUIDEs_GUIDE_2_1_SplineSnap_4_SHIFTS_PV_v_02,_2_fwd_3_GUIDEs_GUIDE_2_1_SplineSnap_4_SHIFTS_PV_u_02,_2_fwd_2_VERTICAL_2_FRAME_seg02_PM_PV_zr_end,_2_fwd_2_VERTICAL_2_FRAME_seg01_PM_PV_zr_end,_2_fwd_2_VERTICAL_1_STEM_seg02_PM_PV_sp_midPoint,_2_fwd_2_VERTICAL_1_STEM_seg02_PM_PV_ar_mid,_2_fwd_2_VERTICAL_1_STEM_seg01_PV_sp_Start,_2_fwd_2_VERTICAL_1_STEM_seg01_PV_sp_End,_2_fwd_2_VERTICAL_1_STEM_PM_PV_zr_bulbNose,_2_fwd_2_VERTICAL_0_PM_PV_zr_FP,f(x),FORCES,WAVEHEIGHTS,Design ID,Ancestry,FSOPT_Generation,FSOPT_Design_ID,FSOPT_Parent_ID
0.4633333333,0.48,0.5647058824,0.4768627451,0.3623529412,0.5717647059,0.1301176471,5.082352941,0.4549019608,0.4823529412,0.9317647059,0.3278431373,0.6478431373,1.411764706,0.6828235294,0.1690196078,0.8990196078,0.7949019608,,0.7014249,0.9031335,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00074,,1,03_OPT/00/NSGA1_000/DES_00074,
0.31,0.43,0.4070588235,0.4705882353,0.3815686275,0.5317647059,0.1311372549,10.84705882,0.4862745098,0.471372549,0.8905882353,0.3615686275,0.6525490196,1.254901961,0.6856470588,0.1466666667,0.887254902,0.802745098,,0.5637678,0.7371527,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00076,,1,03_OPT/00/NSGA1_000/DES_00076,
0.3566666667,0.2733333333,0.3741176471,0.4282352941,0.4309803922,0.5811764706,0.1357254902,-5.129411765,0.4454901961,0.5498039216,0.8788235294,0.3466666667,0.6674509804,0.8,0.6630588235,0.1588235294,0.8862745098,0.8380392157,,0.8526932,1.148716,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00078,,1,03_OPT/00/NSGA1_000/DES_00078,
0.37,0.5233333333,0.4705882353,0.6101960784,0.5764705882,0.5976470588,0.1260392157,9.2,0.5145098039,0.5325490196,0.8947058824,0.3450980392,0.6431372549,1.450980392,0.5543529412,0.16,0.9088235294,0.8082352941,,0.122854,0.8283283,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00079,,1,03_OPT/00/NSGA1_000/DES_00079,
0.4566666667,0.3866666667,0.3105882353,0.4831372549,0.4501960784,0.5647058824,0.1194117647,10.51764706,0.3890196078,0.5011764706,0.8811764706,0.3874509804,0.6298039216,1.443137255,0.704,0.168627451,0.8823529412,0.8121568627,,0.276365,0.6043736,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00080,,1,03_OPT/00/NSGA1_000/DES_00080,
0.2933333333,0.5766666667,0.4941176471,0.4517647059,0.4803921569,0.4776470588,0.1153333333,0.3058823529,0.3921568627,0.5576470588,0.9023529412,0.3529411765,0.6039215686,1.411764706,0.7096470588,0.1611764706,0.9225490196,0.828627451,,0.6947368,1.222329,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00081,,1,03_OPT/00/NSGA1_000/DES_00081,
0.22,0.5033333333,0.5552941176,0.4250980392,0.3870588235,0.5152941176,0.1224705882,-3.976470588,0.4862745098,0.5090196078,0.8929411765,0.3474509804,0.6101960784,0.9490196078,0.7322352941,0.1635294118,0.887254902,0.7431372549,,0.4342649,0.2274421,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00084,,1,03_OPT/00/NSGA1_000/DES_00084,
0.49,0.6466666667,0.52,0.6007843137,0.5105882353,0.4964705882,0.1285882353,3.764705882,0.5615686275,0.4133333333,0.9141176471,0.3411764706,0.6149019608,1.37254902,0.6235294118,0.1690196078,0.9294117647,0.8239215686,,0.5398483,1.164116,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00085,,1,03_OPT/00/NSGA1_000/DES_00085,
0.4333333333,0.5666666667,0.3929411765,0.5364705882,0.5325490196,0.5623529412,0.1290980392,1.788235294,0.2603921569,0.5074509804,0.8888235294,0.3388235294,0.6188235294,1.074509804,0.7025882353,0.1247058824,0.8931372549,0.8349019608,,0.6874525,1.184072,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00086,,1,03_OPT/00/NSGA1_000/DES_00086,
0.2733333333,0.38,0.5623529412,0.4988235294,0.4145098039,0.44,0.1234901961,2.776470588,0.6211764706,0.4321568627,0.9217647059,0.3349019608,0.6235294118,1.403921569,0.6277647059,0.162745098,0.8833333333,0.8294117647,,0.8336606,1.182526,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00088,,1,03_OPT/00/NSGA1_000/DES_00088,
0.5166666667,0.49,0.5482352941,0.4470588235,0.5188235294,0.3858823529,0.1020784314,0.8,0.4360784314,0.3239215686,0.8829411765,0.328627451,0.6235294118,1.458823529,0.6912941176,0.1309803922,0.9088235294,0.7956862745,,-0.4156631,-0.3583143,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00089,,1,03_OPT/00/NSGA1_000/DES_00089,
